FP,f1,C,TN,target,solver,timestamp,MCC,TP,log_loss,roc50,random_state,accuracy,classifier,FN,class_weight,probability,kernel,classifier_arguments,coef0,degree,batch_num,rocNOT50,gamma,TNR,TPR,bagging,bedroc,cv1_folds,cv2_folds,sample,criterion,max_depth,n_estimators,n_jobs
0,0.0,1,138,0.0,,2018-07-20 16:59,,0,1.5869204550374443,0.6340579710144928,4385525,0.971830985915493,SVC,4,balanced,True,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'probability': True, 'random_state': 4385525, 'coef0': 0, 'gamma': 0.02, 'class_weight': 'balanced'}",0,,2898,0.6340579710144928,0.02,,,,,,,,,,,
0,0.0,1,138,0.0,,2018-07-20 16:59,,0,1.7016416338723255,0.09963768115942026,4992070,0.971830985915493,SVC,4,balanced,True,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'probability': True, 'random_state': 4992070, 'coef0': 0, 'gamma': 0.02, 'class_weight': 'balanced'}",0,,2898,0.09963768115942026,0.02,,,,,,,,,,,
0,0.0,1,139,0.0,,2018-07-20 16:59,,0,1.3749184830248904,0.9287769784172661,6939297,0.9652777777777778,SVC,5,balanced,True,linear,"{'kernel': 'linear', 'C': 1, 'random_state': 6939297, 'probability': True, 'class_weight': 'balanced'}",,,2898,0.9287769784172661,,,,,,,,,,,,
0,0.0,1,139,0.0,,2018-07-20 16:59,,0,1.2403518236327973,0.8942446043165468,2146921,0.9652777777777778,SVC,5,balanced,True,linear,"{'kernel': 'linear', 'C': 1, 'random_state': 2146921, 'probability': True, 'class_weight': 'balanced'}",,,2898,0.8942446043165468,,,,,,,,,,,,
0,0.0,1,139,0.0,,2018-07-20 16:59,,0,1.661156278725518,0.7823741007194245,2034821,0.972027972027972,SVC,4,balanced,True,linear,"{'kernel': 'linear', 'C': 1, 'random_state': 2034821, 'probability': True, 'class_weight': 'balanced'}",,,2898,0.7823741007194245,,,,,,,,,,,,
0,0.0,1,138,0.0,,2018-07-20 16:59,,0,1.7634378344177792,0.6757246376811595,4395635,0.971830985915493,SVC,4,balanced,True,linear,"{'kernel': 'linear', 'C': 1, 'random_state': 4395635, 'probability': True, 'class_weight': 'balanced'}",,,2898,0.6757246376811595,,,,,,,,,,,,
0,0.0,1,138,0.0,,2018-07-20 16:59,,0,1.4155980076061558,0.6965579710144929,9863220,0.971830985915493,SVC,4,balanced,True,linear,"{'kernel': 'linear', 'C': 1, 'random_state': 9863220, 'probability': True, 'class_weight': 'balanced'}",,,2898,0.6965579710144929,,,,,,,,,,,,
0,0.0,1,139,f1,,12:13 07-25,,0,1.4751358281068097,0.8575539568345324,5902901,0.9652777777777778,SVC,5,balanced,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 5902901, 'coef0': 0, 'class_weight': 'balanced'}",0,2,5708,0.8575539568345324,,1.0,0.0,False,1.34371689407096e-07,5,5,False,,,,
0,0.0,1,139,f1,,12:13 07-25,,0,1.6923453654388485,0.7928057553956835,8647988,0.9652777777777778,SVC,5,balanced,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 8647988, 'coef0': 0, 'class_weight': 'balanced'}",0,2,5708,0.7928057553956835,,1.0,0.0,False,1.556250259157901e-05,5,5,False,,,,
0,0.0,1,139,f1,,12:13 07-25,,0,1.4341387720386631,0.6870503597122303,1242875,0.972027972027972,SVC,4,balanced,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 1242875, 'coef0': 0, 'class_weight': 'balanced'}",0,2,5708,0.6870503597122303,,1.0,0.0,False,0.2002324755934368,5,5,False,,,,
0,0.0,1,138,f1,,12:13 07-25,,0,1.3375453294632438,0.9692028985507246,229202,0.971830985915493,SVC,4,balanced,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 229202, 'coef0': 0, 'class_weight': 'balanced'}",0,2,5708,0.9692028985507246,,1.0,0.0,False,3.688036835176078e-09,5,5,False,,,,
0,0.0,1,138,f1,,12:13 07-25,,0,1.540262985600815,0.6829710144927535,2095585,0.971830985915493,SVC,4,balanced,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 2095585, 'coef0': 0, 'class_weight': 'balanced'}",0,2,5708,0.6829710144927535,,1.0,0.0,False,0.30501624789994236,5,5,False,,,,
0,0.0,0.5,139,f1,,12:13 07-25,,0,1.7739947989676796,0.7848920863309353,3918078,0.9652777777777778,SVC,5,balanced,True,rbf,"{'kernel': 'rbf', 'C': 0.5, 'probability': True, 'random_state': 3918078, 'gamma': 0.02, 'class_weight': 'balanced'}",,,5708,0.7848920863309353,0.02,1.0,0.0,False,4.62622946459685e-06,5,5,False,,,,
3,0.32744405182567726,1,136,f1,,12:13 07-25,,1,1.255125741060174,0.8690647482014388,9267928,0.9513888888888888,SVC,4,balanced,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 9267928, 'gamma': 0.02, 'class_weight': 'balanced'}",,,5708,0.8690647482014388,0.02,0.9784172661870504,0.2,False,2.9154418574279566e-07,5,5,False,,,,
1,0.0,1,138,f1,,12:13 07-25,,0,1.3512337564665846,0.7733812949640287,1956118,0.965034965034965,SVC,4,balanced,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 1956118, 'gamma': 0.2, 'class_weight': 'balanced'}",,,5708,0.7733812949640287,0.2,0.9928057553956835,0.0,False,0.018575741418741604,5,5,False,,,,
0,0.0,1,138,f1,,12:13 07-25,,0,1.2446116630560162,0.855072463768116,247488,0.971830985915493,SVC,4,balanced,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 247488, 'gamma': 0.2, 'class_weight': 'balanced'}",,,5708,0.855072463768116,0.2,1.0,0.0,False,1.0451203327000458e-05,5,5,False,,,,
0,0.0,1,138,f1,,12:13 07-25,,0,0.9353053462767676,0.9773550724637681,1438361,0.971830985915493,SVC,4,balanced,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 1438361, 'gamma': 0.2, 'class_weight': 'balanced'}",,,5708,0.9773550724637681,0.2,1.0,0.0,False,2.9337077913622057e-09,5,5,False,,,,
1,0.0,,138,f1,,02:23 07-25,,0,4.2401301941820195,0.8769784172661872,3952377,0.9583333333333334,RandomForestClassifier,5,balanced_subsample,,,"{'n_jobs': -1, 'n_estimators': 20, 'random_state': 3952377, 'criterion': 'entropy', 'max_depth': 100, 'class_weight': 'balanced_subsample'}",,,353,0.8769784172661872,,0.9928057553956835,0.0,False,3.1821526213732744e-09,5,5,False,entropy,100,20,-1
5,0.0,,134,f1,,02:30 07-25,,0,4.344217539138418,0.8136690647482014,287664,0.9305555555555556,RandomForestClassifier,5,balanced_subsample,,,"{'n_jobs': -1, 'n_estimators': 40, 'random_state': 287664, 'criterion': 'entropy', 'max_depth': 20, 'class_weight': 'balanced_subsample'}",,,353,0.8136690647482014,,0.9640287769784173,0.0,False,4.476934908800723e-08,5,5,False,entropy,20,40,-1
5,0.0,,134,f1,,02:37 07-25,,0,5.003084866253724,0.8066546762589928,5342921,0.9370629370629371,RandomForestClassifier,4,balanced_subsample,,,"{'n_jobs': -1, 'n_estimators': 40, 'random_state': 5342921, 'criterion': 'entropy', 'max_depth': 20, 'class_weight': 'balanced_subsample'}",,,353,0.8066546762589928,,0.9640287769784173,0.0,False,2.3723271224798048e-08,5,5,False,entropy,20,40,-1
