smiles,fingerprints
C/C(=C(/C#N)\C(=O)COC(=O)CN1C(=O)[C@@H]2CCCC[C@H]2C1=O)/N,"[2.366041903059198, 2.5740158082711497, 2.2327956764683465, 2.7212459281187895, 2.1393150532916794, 2.460626473936162, 2.2143188355370267, 2.5238200683951395, 2.463133247704964, 2.9012737735904195, 1.8351924827614414, 2.8808344307982527, 2.427259509365773, 2.0749293827334667, 2.0236679744372688, 2.3872585663585966, 2.564739892762179, 2.347453245359476, 2.8882455823052, 2.3924674571301763, 2.696948608855995, 2.150662102293751, 2.3399396103261436, 2.021719695958848, 2.2131655831616173, 2.38162783855983, 2.229991980736137, 2.903432266435829, 2.0913855054138217, 2.398165816288106, 2.498665384067914, 2.4081081069065435, 2.0846609370593128, 2.0210848764200224, 2.315131262316467, 2.274010591633754, 2.9997612212257456, 2.142493210442619, 2.089402154321016, 1.9905778921780581, 2.0841942067921417, 2.6981606501900908, 2.1809473754920585, 2.161534356672572, 2.7707532228928207, 2.4330214302619186, 2.7502304953036267, 2.759065130567794, 2.609691136585577, 2.882832058255158]"
C/C(=C(/C#N)\C(=O)COC(=O)CN1C(=O)[C@@H]2CCCC[C@H]2C1=O)/N,"[2.366041903059198, 2.5740158082711497, 2.2327956764683465, 2.7212459281187895, 2.1393150532916794, 2.460626473936162, 2.2143188355370267, 2.5238200683951395, 2.463133247704964, 2.9012737735904195, 1.8351924827614414, 2.8808344307982527, 2.427259509365773, 2.0749293827334667, 2.0236679744372688, 2.3872585663585966, 2.564739892762179, 2.347453245359476, 2.8882455823052, 2.3924674571301763, 2.696948608855995, 2.150662102293751, 2.3399396103261436, 2.021719695958848, 2.2131655831616173, 2.38162783855983, 2.229991980736137, 2.903432266435829, 2.0913855054138217, 2.398165816288106, 2.498665384067914, 2.4081081069065435, 2.0846609370593128, 2.0210848764200224, 2.315131262316467, 2.274010591633754, 2.9997612212257456, 2.142493210442619, 2.089402154321016, 1.9905778921780581, 2.0841942067921417, 2.6981606501900908, 2.1809473754920585, 2.161534356672572, 2.7707532228928207, 2.4330214302619186, 2.7502304953036267, 2.759065130567794, 2.609691136585577, 2.882832058255158]"
C/C(=C(/C#N)\C(=O)COC(=O)CN1C(=O)[C@H]2CCCC[C@@H]2C1=O)/N,"[2.366041903059198, 2.574015808271149, 2.2327956764683465, 2.7212459281187895, 2.1393150532916794, 2.460626473936162, 2.2143188355370267, 2.5238200683951395, 2.463133247704964, 2.9012737735904195, 1.8351924827614414, 2.8808344307982527, 2.4272595093657725, 2.0749293827334667, 2.0236679744372688, 2.3872585663585966, 2.564739892762179, 2.347453245359476, 2.8882455823052, 2.3924674571301763, 2.696948608855995, 2.150662102293751, 2.3399396103261436, 2.021719695958848, 2.2131655831616173, 2.38162783855983, 2.229991980736137, 2.903432266435829, 2.0913855054138217, 2.398165816288106, 2.498665384067914, 2.4081081069065435, 2.0846609370593128, 2.0210848764200224, 2.315131262316467, 2.274010591633754, 2.9997612212257456, 2.142493210442619, 2.089402154321016, 1.9905778921780581, 2.0841942067921417, 2.6981606501900908, 2.1809473754920585, 2.161534356672572, 2.7707532228928207, 2.4330214302619186, 2.7502304953036267, 2.759065130567794, 2.609691136585577, 2.882832058255158]"
C/C(=C(/C#N)\C(=O)COC(=O)CN1C(=O)[C@H]2CCCC[C@@H]2C1=O)/N,"[2.366041903059198, 2.574015808271149, 2.2327956764683465, 2.7212459281187895, 2.1393150532916794, 2.460626473936162, 2.2143188355370267, 2.5238200683951395, 2.463133247704964, 2.9012737735904195, 1.8351924827614414, 2.8808344307982527, 2.4272595093657725, 2.0749293827334667, 2.0236679744372688, 2.3872585663585966, 2.564739892762179, 2.347453245359476, 2.8882455823052, 2.3924674571301763, 2.696948608855995, 2.150662102293751, 2.3399396103261436, 2.021719695958848, 2.2131655831616173, 2.38162783855983, 2.229991980736137, 2.903432266435829, 2.0913855054138217, 2.398165816288106, 2.498665384067914, 2.4081081069065435, 2.0846609370593128, 2.0210848764200224, 2.315131262316467, 2.274010591633754, 2.9997612212257456, 2.142493210442619, 2.089402154321016, 1.9905778921780581, 2.0841942067921417, 2.6981606501900908, 2.1809473754920585, 2.161534356672572, 2.7707532228928207, 2.4330214302619186, 2.7502304953036267, 2.759065130567794, 2.609691136585577, 2.882832058255158]"
C/C(=C(/C#N)\C(=O)COC(=O)CN1C(=O)[C@H]2CCCC[C@@H]2C1=O)/N,"[2.366041903059198, 2.574015808271149, 2.2327956764683465, 2.7212459281187895, 2.1393150532916794, 2.460626473936162, 2.2143188355370267, 2.5238200683951395, 2.463133247704964, 2.9012737735904195, 1.8351924827614414, 2.8808344307982527, 2.4272595093657725, 2.0749293827334667, 2.0236679744372688, 2.3872585663585966, 2.564739892762179, 2.347453245359476, 2.8882455823052, 2.3924674571301763, 2.696948608855995, 2.150662102293751, 2.3399396103261436, 2.021719695958848, 2.2131655831616173, 2.38162783855983, 2.229991980736137, 2.903432266435829, 2.0913855054138217, 2.398165816288106, 2.498665384067914, 2.4081081069065435, 2.0846609370593128, 2.0210848764200224, 2.315131262316467, 2.274010591633754, 2.9997612212257456, 2.142493210442619, 2.089402154321016, 1.9905778921780581, 2.0841942067921417, 2.6981606501900908, 2.1809473754920585, 2.161534356672572, 2.7707532228928207, 2.4330214302619186, 2.7502304953036267, 2.759065130567794, 2.609691136585577, 2.882832058255158]"
C/C(=C(/C#N)\C(=O)COC(=O)CN1C(=O)[C@H]2[C@@H]3C[C@H]([C@@H]2C1=O)C=C3)/N,"[2.476506305291204, 2.4507281937621954, 2.403037333558059, 2.5838364071082007, 2.299153054943586, 2.6784985790487226, 2.4565481072327384, 2.75015468237748, 2.7119853806634624, 2.6782361517850943, 2.0330461658352164, 2.616153060598191, 2.344110306635987, 2.2057502726821023, 2.22376194553197, 2.4662729195796067, 2.8252359565978553, 2.579732780521069, 2.587492309736428, 2.654314880424446, 2.975546238455433, 2.3892060042316867, 2.482213414543967, 2.2482274377921625, 2.387262631544975, 2.4366191506121493, 2.3645400919441473, 2.626347608091087, 2.3199182189971603, 2.524646923953093, 2.3591842751626375, 2.651529802735256, 2.3111926347161162, 2.187328532781024, 2.460445880081499, 2.463730978666897, 2.75105817077434, 2.330469485452382, 2.3227846210812024, 2.2062080958903763, 2.2397966077334965, 2.539996680735361, 2.3534025795439044, 2.3724046421971634, 2.564695719154916, 2.4207762465046536, 3.044860438298076, 3.037329035405251, 2.898147703182899, 2.70557535582307]"
C/C(=C(/C#N)\C(=O)COC(=O)Cn1cc(ccc1=O)C(F)(F)F)/N,"[2.125695642499035, 2.5044135011149566, 1.9330937927054208, 3.8166410675232276, 1.8624754408033248, 2.4764466436231807, 1.9451226047197216, 2.5006010974234854, 2.35892609368093, 3.6638301299639044, 1.7027295669843927, 4.219313225116107, 2.481974312177072, 2.2072530483306556, 1.9167795149506381, 2.1924731445066494, 2.4857857377703865, 2.2602569862211324, 2.8446010277920037, 2.148213733759494, 2.5294096668672528, 1.901975790986101, 2.067040939494889, 1.7574675762321794, 1.8966000032980683, 2.198682802887081, 1.9349711439496837, 2.845562033160969, 1.932326433898369, 2.8035742968871022, 2.940170646257498, 2.2977199967480493, 1.8143016310544413, 1.7603311454022652, 2.0251665508010515, 2.2936954150590863, 3.492637715573164, 1.8342039584878318, 1.8248610752874659, 1.7178691281576635, 2.052270839571455, 3.13554325370522, 1.8834589940228537, 2.0602706134003346, 3.6619665395670493, 2.3815222573067443, 2.5878506128777885, 2.6902252794398764, 2.430182339709114, 3.6015150082436325]"
C/C(=C(/C#N)\C(=O)COC(=O)Cn1cc(ccc1=O)C(F)(F)F)/N,"[2.125695642499035, 2.5044135011149566, 1.9330937927054208, 3.8166410675232276, 1.8624754408033248, 2.4764466436231807, 1.9451226047197216, 2.5006010974234854, 2.35892609368093, 3.6638301299639044, 1.7027295669843927, 4.219313225116107, 2.481974312177072, 2.2072530483306556, 1.9167795149506381, 2.1924731445066494, 2.4857857377703865, 2.2602569862211324, 2.8446010277920037, 2.148213733759494, 2.5294096668672528, 1.901975790986101, 2.067040939494889, 1.7574675762321794, 1.8966000032980683, 2.198682802887081, 1.9349711439496837, 2.845562033160969, 1.932326433898369, 2.8035742968871022, 2.940170646257498, 2.2977199967480493, 1.8143016310544413, 1.7603311454022652, 2.0251665508010515, 2.2936954150590863, 3.492637715573164, 1.8342039584878318, 1.8248610752874659, 1.7178691281576635, 2.052270839571455, 3.13554325370522, 1.8834589940228537, 2.0602706134003346, 3.6619665395670493, 2.3815222573067443, 2.5878506128777885, 2.6902252794398764, 2.430182339709114, 3.6015150082436325]"
C/C(=C(\C#N)/C(=O)COC(=O)Cn1cc(ccc1=O)C(F)(F)F)/N,"[2.125695642499035, 2.5044135011149566, 1.9330937927054208, 3.8166410675232276, 1.8624754408033248, 2.4764466436231807, 1.9451226047197216, 2.5006010974234854, 2.35892609368093, 3.6638301299639044, 1.7027295669843927, 4.219313225116107, 2.481974312177072, 2.2072530483306556, 1.9167795149506381, 2.1924731445066494, 2.4857857377703865, 2.2602569862211324, 2.8446010277920037, 2.148213733759494, 2.5294096668672528, 1.901975790986101, 2.067040939494889, 1.7574675762321794, 1.8966000032980683, 2.198682802887081, 1.9349711439496837, 2.845562033160969, 1.932326433898369, 2.8035742968871022, 2.940170646257498, 2.2977199967480493, 1.8143016310544413, 1.7603311454022652, 2.0251665508010515, 2.2936954150590863, 3.492637715573164, 1.8342039584878318, 1.8248610752874659, 1.7178691281576635, 2.052270839571455, 3.13554325370522, 1.8834589940228537, 2.0602706134003346, 3.6619665395670493, 2.3815222573067443, 2.5878506128777885, 2.6902252794398764, 2.430182339709114, 3.6015150082436325]"
C/C(=C(\C#N)/C(=O)COC(=O)Cn1cc(ccc1=O)C(F)(F)F)/N,"[2.125695642499035, 2.5044135011149566, 1.9330937927054208, 3.8166410675232276, 1.8624754408033248, 2.4764466436231807, 1.9451226047197216, 2.5006010974234854, 2.35892609368093, 3.6638301299639044, 1.7027295669843927, 4.219313225116107, 2.481974312177072, 2.2072530483306556, 1.9167795149506381, 2.1924731445066494, 2.4857857377703865, 2.2602569862211324, 2.8446010277920037, 2.148213733759494, 2.5294096668672528, 1.901975790986101, 2.067040939494889, 1.7574675762321794, 1.8966000032980683, 2.198682802887081, 1.9349711439496837, 2.845562033160969, 1.932326433898369, 2.8035742968871022, 2.940170646257498, 2.2977199967480493, 1.8143016310544413, 1.7603311454022652, 2.0251665508010515, 2.2936954150590863, 3.492637715573164, 1.8342039584878318, 1.8248610752874659, 1.7178691281576635, 2.052270839571455, 3.13554325370522, 1.8834589940228537, 2.0602706134003346, 3.6619665395670493, 2.3815222573067443, 2.5878506128777885, 2.6902252794398764, 2.430182339709114, 3.6015150082436325]"
C/C(=N/NC(=O)Cn1cnc2c1c(=O)n(c(=O)n2C)C)/c3ccco3,"[2.016824794510805, 2.422834359252069, 1.8051302041586297, 3.1101493771003605, 1.7234763724577673, 3.358203502866526, 2.0131737725410765, 3.5408237649860808, 3.116753359617677, 3.213477735418798, 1.5961751520528515, 3.0924033653141407, 2.352868657911779, 2.055452391924595, 2.041378664430046, 2.0765490508948075, 3.439272702931335, 2.8977615208719696, 2.798036601355924, 2.8529125973127707, 3.4887263952095395, 1.9180548876505163, 1.9460931293440555, 1.7430748806184968, 1.759555541690938, 2.0955315301776016, 1.78325269635062, 2.7740085720813954, 2.0244800736430255, 2.865833221757951, 2.5982138388617013, 2.973560944041591, 1.9033859546129281, 1.6099509430024583, 1.9228362916449475, 2.855680166708191, 3.2073943512384293, 1.7108754366746928, 1.8930312999291448, 1.6248786027631086, 1.9605740260480273, 2.8085633574385485, 1.758642296307107, 2.434966809454931, 3.0210392033972555, 2.33144200562532, 3.8103113938424764, 3.9563095718313077, 3.5060906955055575, 3.1899839346381316]"
C/C/1=C\[C@@H]2[C@@H]([C@H](CC3=C[C@H](C1)OC3=O)OC(=O)C(=C)C)C(=C)C(=O)O2,"[2.3095861049840707, 2.388616289571744, 2.2033477996198205, 2.714308548865691, 2.1158750163794653, 2.95839254264597, 2.3411658208424257, 3.0771443020582163, 2.895990345068296, 2.800814814684012, 1.9086933721805908, 2.6853415006970494, 2.322936045461537, 2.213710400150372, 2.1830967654097315, 2.310984707343912, 3.0857616784661954, 2.716395387161456, 2.548983392705554, 2.716129319487229, 3.1817977390417433, 2.2667418343916967, 2.2911677457622757, 2.1035514747220128, 2.199447766181934, 2.2935465651664613, 2.1735111128350413, 2.58425408776086, 2.242642974251279, 2.68761578731897, 2.393614027674454, 2.8032053880370063, 2.190012567208872, 2.0244628894663594, 2.2638684270292866, 2.616896497851137, 2.82682062679097, 2.1316597964037194, 2.202388764441269, 2.0250882722084143, 2.1912827452059345, 2.575733128659235, 2.152781122699284, 2.402002071882648, 2.6515960756962844, 2.380663511899789, 3.3087300008057587, 3.3900815483665427, 3.1190127855714462, 2.828548510885968]"
C/C/1=C\[C@@H]2[C@H]([C@H](CC3=C[C@H](C1)OC3=O)OC(=O)C(=C)C)C(=C)C(=O)O2,"[2.3095861049840707, 2.388616289571744, 2.2033477996198205, 2.714308548865691, 2.1158750163794653, 2.95839254264597, 2.3411658208424257, 3.0771443020582163, 2.895990345068296, 2.800814814684012, 1.9086933721805908, 2.6853415006970494, 2.322936045461537, 2.213710400150372, 2.1830967654097315, 2.310984707343912, 3.0857616784661954, 2.716395387161456, 2.548983392705554, 2.716129319487229, 3.1817977390417433, 2.2667418343916967, 2.2911677457622757, 2.1035514747220128, 2.199447766181934, 2.2935465651664613, 2.1735111128350413, 2.58425408776086, 2.242642974251279, 2.68761578731897, 2.393614027674454, 2.8032053880370063, 2.190012567208872, 2.0244628894663594, 2.2638684270292866, 2.616896497851137, 2.82682062679097, 2.1316597964037194, 2.202388764441269, 2.0250882722084143, 2.1912827452059345, 2.575733128659235, 2.152781122699284, 2.402002071882648, 2.6515960756962844, 2.380663511899789, 3.3087300008057587, 3.3900815483665427, 3.1190127855714462, 2.828548510885968]"
C/C=C(\C)/N(C(=O)C)N(c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C(=O)C,"[2.2783974157645166, 2.4464575327400433, 2.167219809710055, 2.6003133828357896, 2.049508866370464, 2.580215541481788, 2.3271671144650345, 2.647876162437374, 2.6204483664007756, 2.7445069390116767, 1.8708934010858937, 2.7413466645647073, 2.3147486249207976, 2.0555791704103177, 2.105972702476168, 2.2982250211052238, 2.7361576346347163, 2.4936196034446305, 2.7071924488056016, 2.554150768270935, 2.88970589024566, 2.2648265941485874, 2.268960548646336, 2.098579944189931, 2.130039738750983, 2.2845057158421045, 2.1002803261944845, 2.7113840547941583, 2.2333616317565768, 2.3984612998800343, 2.3817762867484613, 2.5612945132151452, 2.1689522601157822, 1.94950413925594, 2.2367160510903803, 2.375454249144083, 2.8232462249307693, 2.0953551968876574, 2.175992003557005, 2.006007459849307, 2.0732420345544575, 2.567590015260013, 2.1118021705356607, 2.2726593685903667, 2.651189720535705, 2.362566737490463, 2.967493521433745, 2.9587751291774183, 2.8143132007438645, 2.72596680149841]"
C/C=C/Cn1c(=O)c2c(nc(n2C)n3c(c(c(n3)C)C)C)n(c1=O)C,"[1.7978152860259025, 1.932414446789591, 1.7518033916119313, 2.6496357370583894, 1.634868681834443, 3.787290440156896, 2.2798355661205605, 4.065932888170413, 3.5483549799361125, 2.62324082118694, 1.6715094116459925, 2.4111452031403, 1.9458683939836796, 2.079106717597374, 2.240683374419336, 1.788324074426252, 3.9620371083870234, 3.28238299352864, 2.108961787896113, 3.3838947909302983, 4.084500217951826, 2.155983085086725, 1.7951929219747547, 1.9441682172637549, 1.7520516132933324, 1.789383526843487, 1.658043905963948, 2.112779996063783, 2.242266975318748, 2.97181751650584, 2.134565864866406, 3.386772520193923, 2.1471234224899067, 1.5834924056987372, 1.7891623592237598, 3.166509349874041, 2.583289256222959, 1.7198067278542353, 2.1318112874428343, 1.7250987324242877, 1.9814684616221458, 2.323277695448862, 1.7036204614860586, 2.7264488894037386, 2.457681774628914, 2.003957457831838, 4.521953680538706, 4.600754809633932, 4.167299923734656, 2.6946108482676734]"
