Compound ID,LXRbeta binder,smiles
5_28b,1,CCCc1c(Oc2ccc(CN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)cc2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F
7_24i,1,CSc1ccc(/C=C/c2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cc1
MOL3,0,c1ccc(OC)cc1c1[nH]nc(c1)c1onc(n1)c1cnccc1
2_15,1,Cc1cnc2c(cccc2c1c1cccc(Oc2cccc(c2)S(=O)(=O)C)c1)C(F)(F)F
7_24k,1,COc1c(/C=C/c2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cccc1
4_3a,1,CCCc1c(OCCCCN2C(=O)N(C)C(C)(C)C2=O)ccc2c(cc(=O)oc12)C(F)(F)F
1_6,1,Cc1c(C)c(NCc2cccc(c2)c2c(Cc3ccccc3)cnc3c(cccc23)C(F)(F)F)ccc1CC(=O)O
2_19,1,CCOC(=O)c1cnc2c(cccc2c1c1cccc(Oc2cccc(c2)S(=O)(=O)C)c1)C(F)(F)F
2_21,1,CS(=O)(=O)c1cccc(Oc2cccc(c2)c2c(cnc3c(cccc23)C(F)(F)F)C#N)c1
4_62,1,CCCc1cc(cc(CCC)c1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(OC(C)C)cc1)C(O)(C(F)(F)F)C(F)(F)F
5_49a,1,CCCc1c(Oc2ccc(cc2)C(=O)CN2C(=O)NC(C)(C2=O)c2ccc(OC(C)C)cc2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F
4_3b,1,CCCc1c(OCCCCN2C(=O)NC(C)(C2=O)c2ccc(OC)cc2)ccc2c(cc(=O)oc12)C(F)(F)F
MOL2_2,0,C[NH+]1CCN(C2(C1)CCN(CC2)c1nccc(n1)C(F)(F)F)C
6_33,0,CCCc1cc2c(cc(=O)oc2c(CCC)c1OCCCCN1C(=O)NC(C)(C1=O)c1cc(OC)c(OC)cc1)C(F)(F)F
MOL2_3,0,c1ccc(c(c1)[C@@H](CNCc2ccc(cc2)C#N)O)C(F)(F)F
MOL6_2,0,COCCNc1cc(c2cc[nH]c2n1)c1ccc2cn[nH]c2c1
1_4,1,OC(=O)Cc1ccc(COc2cccc(c2)c2c(Cc3ccccc3)cnc3c(cccc23)C(F)(F)F)cc1
7_27b,0,COc1ccc(CCc2ccccc2N2C(=O)c3c(cc(Cl)c(Cl)c3)C2=O)cc1
