smiles
C/C(=N/NC(=O)Cn1cnc2c1c(=O)n(c(=O)n2C)C)/c3ccco3
Cc1c(c(n(n1)C)C)N2C(=O)c3cccc4c3c(ccc4C(=O)C)C2=O
CCOC(=O)C1=C(NC(=O)N([C@H]1c2cccc(c2)[N+](=O)[O-])C(=O)C)C
CCOC(=O)C1=C(NC(=O)N([C@@H]1c2cccc(c2)[N+](=O)[O-])C(=O)C)C
CCOC(=O)Cn1c(=O)c2c(nc(n2C)N3CCCCC3)n(c1=O)C
CC1=C([C@]2(c3ccccc3NC2=O)C(=C(O1)N)C#N)C(=O)OC(C)C
CC1=C([C@@]2(c3ccccc3NC2=O)C(=C(O1)N)C#N)C(=O)OC(C)C
Cc1ccc2c(c1)[C@]3(C(=C(OC4=C3C(=O)CC(C4)(C)C)N)C#N)C(=O)N2
Cc1ccc2c(c1)[C@@]3(C(=C(OC4=C3C(=O)CC(C4)(C)C)N)C#N)C(=O)N2
Cn1c2c(c(=O)n(c1=O)C)n(cn2)CN3C(=O)c4ccccc4C3=O
Cn1c2c(c3c(c(=O)n2c4ccccc4)[n+](on3)[O-])c(=O)n(c1=O)C
C=CCN1c2ccccc2[C@@]3(C1=O)C(=C(OC4=C3C(=O)CCC4)N)C#N
C=CCN1c2ccccc2[C@]3(C1=O)C(=C(OC4=C3C(=O)CCC4)N)C#N
CC1=C([C@]2(c3ccccc3N(C2=O)CC=C)C(=C(O1)N)C#N)C(=O)C
CC1=C([C@@]2(c3ccccc3N(C2=O)CC=C)C(=C(O1)N)C#N)C(=O)C
C#CCN1c2ccccc2[C@@]3(C1=O)C(=C(OC4=C3C(=O)CCC4)N)C#N
C#CCN1c2ccccc2[C@]3(C1=O)C(=C(OC4=C3C(=O)CCC4)N)C#N
CN1C(=O)c2ccc(cc2C1=O)Oc3ccc4c(c3)C(=O)N(C4=O)C
c1ccc2c(c1)C(=O)N(C2=O)N3C(=O)c4cccc(c4C3=O)[N+](=O)[O-]
Cc1c2c([nH]n1)OC(=C([C@]23c4ccccc4N(C3=O)C(=O)C)C#N)N
Cc1c2c([nH]n1)OC(=C([C@@]23c4ccccc4N(C3=O)C(=O)C)C#N)N
CCN1c2ccccc2[C@@]3(C1=O)c4c(cc(oc4=O)C)OC(=C3C#N)N
CCN1c2ccccc2[C@]3(C1=O)c4c(cc(oc4=O)C)OC(=C3C#N)N
Cn1c2c(c(c(c(=O)n2c3ccccc3)[N+](=O)[O-])[O-])c(=O)n(c1=O)C
c1cc2c(c(c1)[N+](=O)[O-])C(=O)N(C2=O)CCOC(=O)C3CCCCC3
C1CC(=C(C(=O)C1)C2C3=C(CCCC3=O)OC4=C2C(=O)CCC4)[O-]
